epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1318.8,1.48791,0.98257,0.98837,0.22844,0.39537,0.22568,0.0699,2.93092,4.09879,2.29019,0.000555552,0.000555552,0.000555552
2,2594.4,1.46265,0.92154,0.97909,0.22488,0.37831,0.23748,0.07282,2.89879,4.24741,2.27563,0.00105621,0.00105621,0.00105621
3,3860.41,1.41475,0.87018,0.96339,0.21335,0.40185,0.21664,0.06785,2.96358,4.34022,2.32287,0.00150186,0.00150186,0.00150186
4,5123.24,1.37259,0.82965,0.95235,0.22912,0.41993,0.24432,0.07898,2.9171,4.26638,2.34098,0.00141945,0.00141945,0.00141945
5,6388.85,1.34425,0.79798,0.94218,0.22514,0.42429,0.2397,0.07649,2.8888,4.25256,2.30885,0.00133693,0.00133693,0.00133693
6,7654.99,1.31877,0.77316,0.93609,0.21534,0.4293,0.23427,0.07531,2.94748,4.23014,2.36695,0.00125442,0.00125442,0.00125442
7,8922.92,1.30212,0.75463,0.93167,0.21663,0.42598,0.24167,0.07863,2.87592,4.24128,2.32564,0.0011719,0.0011719,0.0011719
8,10193,1.2823,0.73492,0.92608,0.20856,0.42731,0.2386,0.07504,2.89642,4.30717,2.33422,0.00108938,0.00108938,0.00108938
9,11467.7,1.27137,0.72217,0.92213,0.21656,0.42732,0.24452,0.07781,2.92751,4.31477,2.36206,0.00100687,0.00100687,0.00100687
10,12741.9,1.2555,0.7066,0.91809,0.21619,0.42624,0.24056,0.07594,2.9379,4.44944,2.38519,0.000924352,0.000924352,0.000924352
11,13990.1,1.24561,0.69748,0.91906,0.22318,0.43023,0.24996,0.08186,2.92766,4.40566,2.30122,0.000841835,0.000841835,0.000841835
12,15242.2,1.23073,0.68026,0.91435,0.22166,0.43456,0.25362,0.08254,2.91222,4.46421,2.31719,0.000759318,0.000759318,0.000759318
13,16495.9,1.21996,0.66807,0.91131,0.22144,0.43081,0.24606,0.0795,2.91491,4.45874,2.31597,0.000676802,0.000676802,0.000676802
14,17742.8,1.20523,0.65531,0.90701,0.22395,0.43569,0.2542,0.08162,2.96065,4.5099,2.33834,0.000594286,0.000594286,0.000594286
15,18988.1,1.19236,0.64094,0.90394,0.22508,0.43317,0.25731,0.08341,2.94776,4.41834,2.33435,0.000511769,0.000511769,0.000511769
16,20242.5,1.18139,0.62919,0.90087,0.22267,0.43273,0.25232,0.08316,2.93954,4.45078,2.33419,0.000429253,0.000429253,0.000429253
17,21494.8,1.16738,0.61688,0.89741,0.22183,0.4334,0.2481,0.08132,2.93631,4.43989,2.36677,0.000346736,0.000346736,0.000346736
18,22747.2,1.15467,0.60476,0.89354,0.22475,0.4355,0.25458,0.08262,2.94297,4.49764,2.36266,0.00026422,0.00026422,0.00026422
19,23992,1.14505,0.59401,0.89129,0.22601,0.4346,0.25489,0.08357,2.94437,4.47792,2.36936,0.000181703,0.000181703,0.000181703
20,25234.7,1.12705,0.58068,0.88696,0.22465,0.43511,0.25514,0.08375,2.9555,4.41844,2.37351,9.91865e-05,9.91865e-05,9.91865e-05
